canton,mes,anio,produccion,area
Oreamuno,abril,2014,72.035,1052.8999999999999
Oreamuno,mayo,2014,63.7,1061.6
Oreamuno,junio,2014,39.89999999999999,1215.4
Oreamuno,julio,2014,30.8,761.7325000000001
Oreamuno,agosto,2014,89.5,2049.49
Oreamuno,septiembre,2014,95.0,2000.0
Oreamuno,octubre,2014,90.45,2003.8200000000002
Oreamuno,noviembre,2014,144.905,3840.825
Oreamuno,diciembre,2014,114.8,2954.8
El Guarco,enero,2014,,
El Guarco,febrero,2014,,
El Guarco,marzo,2014,,
El Guarco,abril,2014,,
El Guarco,mayo,2014,,
El Guarco,junio,2014,,
El Guarco,julio,2014,,
El Guarco,agosto,2014,,
El Guarco,septiembre,2014,,
El Guarco,octubre,2014,,
El Guarco,noviembre,2014,0.74,18.39
El Guarco,diciembre,2014,,
Cartago,enero,2014,76.4,1305.3
Cartago,febrero,2014,93.3,1417.9
Cartago,marzo,2014,58.224999999999994,862.9875000000001
Cartago,abril,2014,1.7499999999999998,18.7
Cartago,mayo,2014,1.925,46.7
Cartago,junio,2014,8.4,141.1
Cartago,julio,2014,9.799999999999999,206.67
Cartago,agosto,2014,94.025,2041.1825
Cartago,septiembre,2014,79.0,1839.0
Cartago,octubre,2014,17.2,419.6
Cartago,noviembre,2014,32.9,1008.955
Cartago,diciembre,2014,65.18,1875.385
Alvarado,enero,2014,50.5,715.12
Alvarado,febrero,2014,56.5,954.7
Alvarado,marzo,2014,51.224999999999994,816.9274999999999
Alvarado,abril,2014,81.19999999999996,1760.2
Alvarado,mayo,2014,86.8,1875.6
Alvarado,junio,2014,128.275,2904.3799999999997
Alvarado,julio,2014,121.2687,3212.375
Alvarado,agosto,2014,61.0,2757.83
Alvarado,septiembre,2014,60.0,1429.0
Alvarado,octubre,2014,56.0,1301.0
Alvarado,noviembre,2014,65.39,1826.8798
Alvarado,diciembre,2014,132.42,3534.6
Turrialba,enero,2015,5.6,119.0
Turrialba,febrero,2015,18.549999999999997,525.925
Turrialba,marzo,2015,1.4,30.0
Turrialba,abril,2015,7.7,183.0
Turrialba,mayo,2015,29.6,878.0
Turrialba,junio,2015,35.35,879.45
Turrialba,julio,2015,58.45,1415.15
Turrialba,agosto,2015,76.8,2053.47
Turrialba,septiembre,2015,8.4,199.2
Turrialba,octubre,2015,7.7,190.9
Turrialba,noviembre,2015,14.7,356.8999999999999
Turrialba,diciembre,2015,3.15,91.3
Oreamuno,enero,2015,36.4,848.0
Oreamuno,febrero,2015,62.2,1467.0
Oreamuno,marzo,2015,102.8,2269.815
Oreamuno,abril,2015,29.95,697.28
Oreamuno,mayo,2015,8.4,194.0
Oreamuno,junio,2015,7.699999999999999,182.2
Oreamuno,julio,2015,18.375,441.975
Oreamuno,agosto,2015,60.9,1339.6
Oreamuno,septiembre,2015,102.7,2333.6
Oreamuno,octubre,2015,93.7,2194.56
Oreamuno,noviembre,2015,57.275,1530.0700000000002
Oreamuno,diciembre,2015,53.339999999999996,1341.4045
El Guarco,enero,2015,2.1,37.0
El Guarco,febrero,2015,0.049,0.8134
El Guarco,marzo,2015,3.018,49.4462
El Guarco,abril,2015,0.4,8.0
El Guarco,mayo,2015,0.7,13.0
El Guarco,junio,2015,,
El Guarco,julio,2015,2.5339999999999994,58.11659999999999
El Guarco,agosto,2015,1.2,17.4
El Guarco,septiembre,2015,0.7,12.5
El Guarco,octubre,2015,4.6129999999999995,110.751
El Guarco,noviembre,2015,2.738,63.738
El Guarco,diciembre,2015,31.85,1204.3300000000002
Cartago,enero,2015,79.85,1638.0
Cartago,febrero,2015,32.65,715.9
Cartago,marzo,2015,105.05,2597.245
Cartago,abril,2015,74.4,1862.0
Cartago,mayo,2015,35.3,878.0
Cartago,junio,2015,72.4,1775.88
Cartago,julio,2015,78.4,2023.125
Cartago,agosto,2015,105.66499999999999,2675.6455
Cartago,septiembre,2015,212.04999999999998,5111.900000000001
Cartago,octubre,2015,68.6,1734.5
Cartago,noviembre,2015,50.75,1231.411
Cartago,diciembre,2015,57.4,1355.42
Alvarado,enero,2015,48.6,1198.5
Alvarado,febrero,2015,52.5,1133.45
Alvarado,marzo,2015,74.58,1621.417
Alvarado,abril,2015,59.300000000000004,1395.0
Alvarado,mayo,2015,92.9,2188.0
Alvarado,junio,2015,87.60000000000001,2207.2
Alvarado,julio,2015,78.27000000000001,1945.1349999999998
Alvarado,agosto,2015,75.6,1893.1
Alvarado,septiembre,2015,122.2,3286.9
Alvarado,octubre,2015,79.6,1966.9099999999999
Alvarado,noviembre,2015,64.75,1627.6599999999999
Alvarado,diciembre,2015,84.875,2146.588
Turrialba,enero,2016,7.0,165.6
Turrialba,febrero,2016,0.7,16.6
Turrialba,marzo,2016,,
Turrialba,abril,2016,,
Turrialba,mayo,2016,,
Turrialba,junio,2016,,
Turrialba,julio,2016,11.199999999999998,289.66999999999996
Turrialba,agosto,2016,23.099999999999998,616.69
Turrialba,septiembre,2016,49.35,1261.6000000000001
Turrialba,octubre,2016,11.55,329.13
Turrialba,noviembre,2016,1.75,45.54
Turrialba,diciembre,2016,42.14,1112.75
Oreamuno,enero,2016,54.7,1190.9
Oreamuno,febrero,2016,75.0,1659.95
Oreamuno,marzo,2016,160.65,3386.75
Oreamuno,abril,2016,103.08000000000001,2245.98
